#Date       Time      NSW1      NSW1-RRP  QLD1     QLD1-RRP  SA1      SA1-RRP  TAS1     TAS1-RRP  VIC1     VIC1-RRP
2008/01/01  00:30:00  7767.6    26.66     5171.41  22.99     1882.33  44.77    1006.58  31        5903.2   31.4
2008/01/01  01:00:00  7516.08   24.75     5045.65  21.29     1790.94  41.62    980.09   30.94     5707.26  29.74
2008/01/01  01:30:00  7140.78   25.07     4885.62  21.46     1686.16  87.81    966.46   30.92     6037.52  72.99
2008/01/01  02:00:00  6781.78   24.94     4753.47  20.72     1633.41  37.95    990.36   30.93     5687.61  28.83
2008/01/01  02:30:00  6544.73   23.78     4630.89  19.13     1563.37  34.33    997.3    30.94     5360.2   26.85
2008/01/01  03:00:00  6376.97   21        4538.21  17.51     1502.31  30.22    1000.15  30.94     5161.27  23.13
2008/01/01  03:30:00  6228.76   19.62     4471.09  16.32     1450.64  25.8     1006.44  31.89     5037.84  21.07
2008/01/01  04:00:00  6122.14   15.81     4430.17  13.18     1419.77  19.35    1008.28  34.4      4937.43  16.63
2008/01/01  04:30:00  6121.98   17.78     4425.91  14.84     1383.86  20.95    1014.06  30.94     4915.2   18.38
2008/01/01  05:00:00  6078.71   16.55     4427.46  13.89     1396.66  19.59    1015.72  30.93     4869.24  17.11
2008/01/01  05:30:00  6121.64   17.51     4426.08  14.73     1389.93  20.58    1019.26  30.92     4841.38  18
2008/01/01  06:00:00  6229.92   18.45     4447.33  15.49     1369.03  21.53    1021.72  30.92     4879.34  19
2008/01/01  06:30:00  6377.99   19.66     4547.07  15.15     1365.04  23.15    1030.56  30.94     5001.71  20.48
2008/01/01  07:00:00  6630.34   20        4650.59  14.44     1420.91  24.07    1032.28  30.93     5171.4   21.35
2008/01/01  07:30:00  6900.02   19.71     4862.44  16.54     1455.3   23.58    1065.92  30.94     5295.25  21.28
2008/01/01  08:00:00  7172.56   20.94     5050.25  17.96     1510.47  27.29    1072.98  30.93     5533.52  25.11
2008/01/01  08:30:00  7463.28   20.5      5265.48  18.19     1615.01  32.48    1101.39  30.94     5861.61  31.35
2008/01/01  09:00:00  7698.77   20.72     5441.33  18.76     1693.39  29.97    1105.36  30.93     6187.1   26.14
2008/01/01  09:30:00  7942.73   21        5568.15  19.05     1790.06  44.09    1111.36  30.94     6500.05  38.74
2008/01/01  10:00:00  8113.22   22.78     5668.38  20.59     1889.34  98.77    1112.93  30.94     6771.7   82.13
2008/01/01  10:30:00  8294.56   26.55     5756.21  23.6      1959.22  111.11   1110.41  30.94     7001.32  87.72
2008/01/01  11:00:00  8451.14   31.02     5792.23  26.83     2039.49  108.1    1096.73  30.93     7163.93  80.5
2008/01/01  11:30:00  8542.46   34.58     5862.19  30.11     2108.51  160.24   1079.79  30.94     7253.07  64.78
2008/01/01  12:00:00  8629.24   34.33     5863.6   29.53     2155.97  153.43   1091.14  30.94     7328.99  82.98
2008/01/01  12:30:00  8658.49   32.12     5901     26.73     2174.34  264.83   1083.06  30.94     7355.46  86.42
2008/01/01  13:00:00  8697.97   35        5881.86  27.98     2194.77  115.61   1064.4   30.94     7311.88  76.84
2008/01/01  13:30:00  8802.36   35        5900.96  28.42     2204.74  88.46    1073.5   30.94     7284.62  60.49
2008/01/01  14:00:00  8833.77   34.7      5911.03  28.26     2205.3   75.5     1083.11  30.91     7255.16  52.52
2008/01/01  14:30:00  8892.45   33.17     5895.43  27.93     2198.56  111.68   1068.72  30.9      7221.48  39.13
2008/01/01  15:00:00  8949.26   32.26     5869.54  27.24     2202.62  49.77    1059.51  30.9      7164.61  37.26
2008/01/01  15:30:00  8983.29   33.53     5879.92  27.93     2187.04  148.77   1060.17  30.9      7132.91  38.51
2008/01/01  16:00:00  9064.86   40.35     5891.37  26.89     2172.37  263.47   1058.14  30.9      7125.61  61.51
2008/01/01  16:30:00  9140.04   36.24     5935.95  30.44     2191.89  349.98   1065.99  30.9      7071.75  45.53
2008/01/01  17:00:00  9226.07   42.17     5976.12  34.23     2214.13  224.4    1057.91  30.9      6984.86  47.74
2008/01/01  17:30:00  9159.59   31.06     6031.19  27.51     2209.8   173.88   1029.18  34.27     6803.15  33.95
2008/01/01  18:00:00  9036.32   32.11     6137.49  28.37     2151.36  175.68   1082.95  30.92     6588.83  35.15
2008/01/01  18:30:00  8850.16   28        6017.46  24.43     2087.67  43.85    1084.5   30.92     6346.91  30.95
2008/01/01  19:00:00  8657.79   27.34     6016.24  23.88     1999.56  171.64   1087.4   30.91     6134.42  30.07
2008/01/01  19:30:00  8587.08   25.13     6082.22  22.68     1890.57  34.79    1078.8   30.92     5921.26  26.91
2008/01/01  20:00:00  8658.7    26.46     6041.12  23.86     1797.57  33.32    1076.98  30.92     5789.5   28.12
2008/01/01  20:30:00  8564.32   24.12     5949.01  21.83     1734.81  29.42    1085.24  30.92     5794.96  25.91
2008/01/01  21:00:00  8327.97   21.25     5837.65  19.34     1693.34  29.27    1079.96  30.92     5707.65  22.9
2008/01/01  21:30:00  8294.47   20.83     5844.17  19.47     1629.3   25.3     1051.4   30.92     5515.09  21.63
2008/01/01  22:00:00  8106.12   19.18     5656.96  17.85     1552.26  21.16    1019.44  30.92     5285     19.08
2008/01/01  22:30:00  8027.06   22.02     5533.18  20.74     1472.55  23.04    991.5    30.92     5103.96  21.46
2008/01/01  23:00:00  7830.96   20.95     5413.85  19.81     1428.73  21.44    969.14   30.92     4977.12  20.27
2008/01/01  23:30:00  7672.99   21        5311.01  19.61     1404.07  22.15    941.26   30.91     5253.84  21.19
2008/01/02  00:00:00  7504.05   20.83     5165.6   18.98     1525.72  23.47    905.5    34.05     5088     21.25
2008/01/02  00:30:00  7285.52   19.98     4963.07  17.7      1466.09  21.31    981.85   30.93     4833.96  19.5
2008/01/02  01:00:00  7042.94   19.98     4831.03  17.45     1397.97  20.26    983.14   30.94     4713.32  19
2008/01/02  01:30:00  6752.32   20.03     4680.2   17.33     1328.36  20.49    975.61   30.93     5058.98  19.66
2008/01/02  02:00:00  6472.4    18.27     4578.25  15.88     1256.69  17.88    944.6    30.92     4824.18  17.34
2008/01/02  02:30:00  6304.34   14.61     4478.26  12.71     1221.42  13.76    955.78   30.92     4601.19  13.41
2008/01/02  03:00:00  6265.09   15.5      4435.25  13.23     1196.82  14.33    953.69   30.92     4452.68  13.96
2008/01/02  03:30:00  6229.64   14.12     4472.64  12.17     1180.66  12.99    935.8    30.92     4359.83  12.64
2008/01/02  04:00:00  6255.13   16.2      4476.13  13.93     1153.43  14.63    944.11   30.92     4373.26  14.4
2008/01/02  04:30:00  6459.5    18.09     4500.01  15.55     1151.27  15.07    962.54   30.92     4414.66  15.27
2008/01/02  05:00:00  6589.23   19.79     4535.85  16.87     1165.39  16.98    981.24   30.92     4511.01  16.96
2008/01/02  05:30:00  6906.22   20.9      4612.55  17.89     1178.77  19.56    1018.29  30.93     4705.71  19.09
2008/01/02  06:00:00  7280.12   20.28     4709.72  17.19     1191.62  19.28    1048.24  30.92     4882.66  18.8
2008/01/02  06:30:00  7598.16   21.71     5009.99  18.64     1240.83  21.93    1089.64  30.92     5178.57  21.21
2008/01/02  07:00:00  8041.98   20.83     5337.89  18.27     1311.54  21.87    1125.3   30.92     5404.16  20.98
2008/01/02  07:30:00  8462.92   20.82     5680.56  18.71     1345.45  21.11    1148.78  45.32     5466.35  20.49
2008/01/02  08:00:00  8854.11   23.02     5961.86  20.86     1389.81  23.59    1147.17  45.32     5665.9   22.95
2008/01/02  08:30:00  9265.61   34.37     6263.6   30.89     1472.79  35.82    1163.39  45.32     5869.13  35.02
2008/01/02  09:00:00  9494.32   33.15     6452.9   29.56     1536.02  34.63    1155.53  45.32     5951.06  33.96
2008/01/02  09:30:00  9656.76   33.48     6593.14  29.47     1576.52  35.52    1125.72  45.32     6032.97  34.62
2008/01/02  10:00:00  9754.07   33.65     6628.34  29.27     1637.53  36.5     1112.02  45.32     5959.86  34.88
2008/01/02  10:30:00  9879.1    39.64     6670.72  33.98     1671.83  45.16    1120.29  45.32     6186.39  42.62
2008/01/02  11:00:00  10021.9   42.66     6729.03  35.76     1692.74  49.19    1123.7   45.32     6305.05  46.06
2008/01/02  11:30:00  10067.73  42.76     6752.48  36.52     1721.43  47.78    1126.42  45.32     6379.23  45.87
2008/01/02  12:00:00  10195.88  43.27     6748.57  36.5      1728.82  46.95    1127.51  45.32     6415.41  45.52
2008/01/02  12:30:00  10284.13  43.46     6744     32.74     1745.12  46.72    1119.9   45.32     6445.27  45.19
2008/01/02  13:00:00  10391.96  44.16     6755.91  37.08     1770.98  46.88    1093.77  45.32     6480.69  44.99
2008/01/02  13:30:00  10485.34  44.55     6752.66  37.47     1781.57  46.81    1080.13  45.32     6509.09  44.92
2008/01/02  14:00:00  10571.71  44.54     6728.84  38.16     1815.46  47.08    1101.12  45.32     6503.72  44.74
2008/01/02  14:30:00  10635.35  44.89     6738.35  38.73     1814.42  46.89    1100.02  45.32     6504.49  44.67
2008/01/02  15:00:00  10718.24  45.43     6773.54  39.52     1800.58  47       1085.96  45.32     6591.02  45.05
2008/01/02  15:30:00  10777.78  45.45     6773.68  39.34     1797.43  46.47    1087.63  45.32     6558.06  44.54
2008/01/02  16:00:00  10791.48  45.26     6776.84  38.91     1798.59  45.41    1103.08  45.32     6535.57  43.59
2008/01/02  16:30:00  10716.57  45.18     6755.78  39.02     1785.92  44.53    1111.42  45.32     6521.64  42.96
2008/01/02  17:00:00  10574.47  45.55     6790.52  39.71     1757.98  43.72    1117.78  45.32     6427.42  42.57
2008/01/02  17:30:00  10227.73  35.07     6740.74  30.57     1694.04  33.5     1107.84  45.32     6200.15  33.28
2008/01/02  18:00:00  10002.78  33.64     6714.18  29.78     1625.62  30.15    1098.8   45.32     5992.02  32.21
2008/01/02  18:30:00  9655.28   27.89     6502.8   24.54     1544.49  23.16    1091.7   45.32     5775.87  26.33
2008/01/02  19:00:00  9419.67   21.88     6487.18  20.08     1497.94  14.48    1071.74  45.32     5590.99  20.17
2008/01/02  19:30:00  9331.85   21.32     6546.13  20.06     1421.87  19.1     1074.54  45.32     5452.74  19.27
2008/01/02  20:00:00  9369.69   27.84     6507.48  25.2      1394.96  26.11    1085.62  45.32     5445.37  26.28
2008/01/02  20:30:00  9229.62   28.82     6416.74  25.65     1404.04  28.23    1101.05  45.32     5507.39  28.34
2008/01/02  21:00:00  8890.07   23.59     6307.18  21.11     1417.78  23.45    1127.05  45.32     5437.51  23.33
2008/01/02  21:30:00  8918      23.03     6305.79  21        1387.89  22.08    1104.49  45.32     5277.51  22.15
2008/01/02  22:00:00  8547.37   20.67     6069.67  18.6      1346.66  19.59    1067.51  45.32     5084.69  19.75
2008/01/02  22:30:00  8588.86   22.06     5872.69  20.12     1287.12  20.24    1032.76  30.93     4934.99  20.64
2008/01/02  23:00:00  8376.06   23.77     5781.92  22.16     1266.48  21.83    1034.06  30.94     4859.8   22.39
2008/01/02  23:30:00  8154.71   26.52     5629.03  24.42     1257.67  25.52    1018.52  30.93     5190.11  26.41
2008/01/03  00:00:00  7961.44   25.55     5455.62  22.87     1387.3   26.55    1009.87  30.93     5024.62  26.34
2008/01/03  00:30:00  7733.99   22.46     5243.5   20.66     1350.36  22.27    978.27   30.92     4840.09  22.28
2008/01/03  01:00:00  7466.35   21        5046.31  19.37     1269.85  19.71    1001.57  30.94     4679.7   20.07
2008/01/03  01:30:00  7148.08   21.42     4860.63  19.22     1150.79  20.62    997.95   30.94     5075.58  21.56
2008/01/03  02:00:00  6803.41   20.15     4716.99  18.04     1069.74  18.97    995.14   30.94     4877.79  19.73
2008/01/03  02:30:00  6624.41   19.97     4668.45  17.72     1010.63  18.18    986.61   30.94     4634.25  19.03
2008/01/03  03:00:00  6507.7    19.99     4604.2   17.51     977.85   17.75    984.47   30.94     4471.29  18.6
2008/01/03  03:30:00  6471.72   20.06     4629.73  17.66     963.92   17.61    979.57   30.92     4381.09  18.48
2008/01/03  04:00:00  6512.59   20        4596.02  17.5      959.72   17.44    990.7    30.94     4350.29  18.33
2008/01/03  04:30:00  6628.9    19.98     4608.28  17.53     945.69   17.37    1002.4   30.88     4416.44  18.36
2008/01/03  05:00:00  6818.23   20        4648.73  17.71     946.76   17.71    1019.55  30.88     4521.1   18.72
2008/01/03  05:30:00  7176.78   20.89     4748.18  18.63     980.64   18.75    1055.1   30.89     4662.53  19.62
2008/01/03  06:00:00  7529.31   20        4852.3   16.83     998.22   18.63    1075.58  30.88     4884.18  19.44
2008/01/03  06:30:00  7894.82   21.4      5143.34  18.42     1060     20.85    1095.57  30.88     5185.07  21.43
2008/01/03  07:00:00  8337.38   21.03     5452.86  18.06     1114.62  21.02    1126.12  30.88     5464.16  21.65
2008/01/03  07:30:00  8711.68   20.86     5784.94  18.4      1192.61  20.59    1112.07  45.28     5523.64  21.22
2008/01/03  08:00:00  9050.3    24.05     6067.23  21.38     1240.05  23.04    1114.43  45.28     5688.74  24.29
2008/01/03  08:30:00  9465.76   33.15     6317.25  29.18     1309.12  31.39    1139.48  45.3      5884.99  33.67
2008/01/03  09:00:00  9630.58   33.72     6506.99  29.83     1368.71  32.57    1144.09  45.28     5994.9   34.29
2008/01/03  09:30:00  9755.02   33.9      6604.42  29.97     1389.44  32.51    1137.15  45.27     6092.18  34.05
2008/01/03  10:00:00  9769.82   33.33     6638.66  29.78     1439.39  31.36    1130.73  45.27     6212.49  33.57
2008/01/03  10:30:00  9819.61   33.41     6653.66  29.6      1480.05  31.66    1111.64  45.29     6303.17  33.9
2008/01/03  11:00:00  9903.27   37.53     6687.93  32.69     1548.33  36.96    1098.36  45.28     6411.45  38.95
2008/01/03  11:30:00  9875.14   37.28     6725.18  32.47     1592.46  37.68    1083.84  45.3      6525.85  39.46
2008/01/03  12:00:00  9911.4    34.7      6733.28  30.22     1645.59  35.3     1071.13  51.14     6588.28  36.86
2008/01/03  12:30:00  9948.09   38.38     6750.53  33.27     1675.45  39.5     1049.31  45.28     6692.78  41.03
2008/01/03  13:00:00  9964.31   37.23     6749.48  32.53     1694.73  34.86    1065.35  45.32     6793.61  40.39
2008/01/03  13:30:00  9947.91   42.85     6699.8   37.69     1746.27  38.29    1056.22  46.19     6865.94  46.99
2008/01/03  14:00:00  9973.47   53.92     6656.28  46.57     1766.17  60.21    1063.26  45.99     6938.85  61.28
2008/01/03  14:30:00  9996.43   54.38     6641.67  43.26     1783.09  59.23    1067.59  46.88     6998.25  62.49
2008/01/03  15:00:00  9980.88   44.53     6650.53  37.97     1814.53  51.41    1064.97  45.28     7087.96  51.8
2008/01/03  15:30:00  10037.86  52.74     6626.09  45.05     1836.92  61.91    1077.91  45.26     7159.47  61.12
2008/01/03  16:00:00  10097.99  61.34     6625.61  53.18     1852.31  72.61    1099.32  45.26     7231.36  71.33
2008/01/03  16:30:00  10049.77  62.46     6625.55  55.2      1874.28  73.8     1112.21  45.26     7244.98  72.06
2008/01/03  17:00:00  10054.99  71.94     6624.4   63.59     1882.59  86.03    1123.07  45.26     7210.69  83.52
2008/01/03  17:30:00  9791.93   61.27     6627.31  54.95     1875.88  74.36    1118.22  45.26     7026.06  72.1
2008/01/03  18:00:00  9599.21   46.47     6688.06  42.45     1827.48  55.04    1110.21  45.26     6812.78  53.29
2008/01/03  18:30:00  9357.1    41.51     6594.43  37.02     1775.06  49.23    1102.21  45.26     6556.1   47.73
2008/01/03  19:00:00  9190.93   41.45     6621.84  37.6      1733.45  49.91    1102.16  45.26     6302.09  47.73
2008/01/03  19:30:00  9186.8    41.37     6559.93  37.24     1658.11  50.01    1105.62  45.28     6095.89  47.15
2008/01/03  20:00:00  9247.99   40.38     6473.28  35.93     1582.19  47.8     1119.58  45.28     5976.33  45.58
2008/01/03  20:30:00  9025.41   35.02     6374.29  31.06     1542.83  47.57    1139.02  45.28     5928.3   40.44
2008/01/03  21:00:00  8685.13   28.86     6283.69  26        1530.45  37.81    1133.81  45.28     5867.86  32.6
2008/01/03  21:30:00  8720.29   27.18     6194.3   24.58     1470.72  32.13    1111.21  45.28     5651.02  29.5
2008/01/03  22:00:00  8597.95   25.03     5974.61  22.57     1415.83  26.71    1063.07  45.28     5400.19  26.02
2008/01/03  22:30:00  8515.11   31.57     5803.37  28.36     1363.63  31.9     1031.24  30.89     5218.69  31.51
2008/01/03  23:00:00  8269.37   33.66     5693.75  31.17     1343.57  33.3     991.5    30.88     5099.35  33.12
2008/01/03  23:30:00  8038.28   29.23     5596.5   26.74     1331.16  30.16    973.84   30.92     5397.09  30.16
2008/01/04  00:00:00  7861.26   27.48     5418.39  25.06     1450.02  29.48    961.8    30.88     5213     28.35
2008/01/04  00:30:00  7630.22   22.07     5185.18  20.72     1394.82  22.56    950.37   35.64     4982.48  21.93
2008/01/04  01:00:00  7415.57   20.94     4992.56  19.86     1362.59  20.85    946.91   36.92     4841.77  20.3
2008/01/04  01:30:00  7038.45   20.83     4840.49  19.44     1273.19  21.9     940.92   37.81     5239.51  21.47
2008/01/04  02:00:00  6738.33   19.87     4705.77  18.53     1187.7   20.12    936.49   33.33     5017.88  19.79
2008/01/04  02:30:00  6556.69   19.93     4605.36  18.44     1133.17  19.65    928.38   31.16     4779.39  19.36
2008/01/04  03:00:00  6486.18   19.96     4555.73  18.54     1139.91  19.65    935.23   35.64     4629.85  19.21
2008/01/04  03:30:00  6468.22   19.98     4545.33  19.12     1138.26  19.48    936.8    34.49     4556.39  19.04
2008/01/04  04:00:00  6503.67   20.48     4514.13  19.51     1143.27  20.66    941.32   35.57     4516.62  20.17
2008/01/04  04:30:00  6651.24   20        4556.41  19.22     1148.61  20.28    949.52   20.58     4540.21  19.79
2008/01/04  05:00:00  6791.83   20.33     4595.2   19.38     1183.19  21.32    961.01   20.58     4655.52  20.6
2008/01/04  05:30:00  7166.18   22.75     4674.57  21.12     1222.7   24.71    992.55   20.58     4789.69  23.68
2008/01/04  06:00:00  7571.48   28.05     4838.29  25.14     1255.71  35.93    1013.5   20.58     4997.68  35.65
2008/01/04  06:30:00  7910.27   32.46     5116.01  29.38     1296.26  38.98    1061.57  20.58     5317     37.21
2008/01/04  07:00:00  8298.72   33.33     5416.14  29.18     1413.73  39.99    1095.45  20.58     5597.76  37.5
2008/01/04  07:30:00  8685.48   29.11     5736.19  25.22     1541.78  33.89    1124.38  35.47     5701.58  32.03
2008/01/04  08:00:00  9097.81   41.02     5983.76  35.8      1615     47.02    1139.09  35.47     5974.65  45.03
2008/01/04  08:30:00  9421.1    44.62     6295.7   40.88     1690.8   51.19    1139.06  35.47     6218.79  48.53
2008/01/04  09:00:00  9594.07   47.21     6417.24  43.9      1750.69  53.81    1129.64  35.46     6375.56  50.88
2008/01/04  09:30:00  9707.58   70.77     6605.59  68.27     1848.75  82.24    1121.08  35.46     6580.63  76.01
2008/01/04  10:00:00  9772.51   76        6645.17  73        1937.72  88.94    1117.05  35.46     6709.93  81.76
2008/01/04  10:30:00  9787.33   82.74     6666.71  78.34     2012.87  92.94    1108.13  35.46     6863.74  88.67
2008/01/04  11:00:00  9818.1    84.22     6709.15  80.41     2099.02  96.64    1108.42  35.48     6997.69  90.67
2008/01/04  11:30:00  9751.09   63.66     6655.17  60.53     2170.88  76.66    1101.87  35.47     7180.68  70.13
2008/01/04  12:00:00  9735.87   68.59     6643.91  65.16     2243.06  90.82    1094.66  35.47     7325.26  76.12
2008/01/04  12:30:00  9781.07   73.99     6614.47  69.26     2344.22  99.21    1095.84  35.46     7493.51  83.05
2008/01/04  13:00:00  9836.38   88.05     6669.06  81.56     2438.15  108.64   1086.87  35.46     7612.69  98.36
2008/01/04  13:30:00  9785.67   88.86     6664.94  81.76     2487.43  136.2    1088.52  35.46     7741.91  126.31
2008/01/04  14:00:00  9865.1    91.99     6646.94  84.1      2488.97  344.54   1088.12  35.46     7845.37  289.91
2008/01/04  14:30:00  9865.67   98.67     6653.74  90.42     2487.35  348.51   1093.58  35.46     7940.07  295.14
2008/01/04  15:00:00  9919.85   91.16     6629.29  83.39     2510.41  8353.99  1108.53  35.49     7978.82  295.61
2008/01/04  15:30:00  9842.14   74.33     6577.4   67.91     2541.92  9950.37  1118.23  35.5      8071.53  1069.41
2008/01/04  16:00:00  9826.6    69.91     6592.82  64.37     2564.8   9950.32  1128.83  35.5      8136.16  288.3
2008/01/04  16:30:00  9799.08   78.5      6610.01  74        2549.14  9949.94  1134.73  35.5      8200.41  267.41
2008/01/04  17:00:00  9648.07   72.62     6705.23  69.38     2525.16  9948.25  1142.82  35.5      8220.03  291.11
2008/01/04  17:30:00  9408.8    53.34     6682.08  51.63     2480.65  3526.58  1131.4   35.5      8094     284.81
2008/01/04  18:00:00  9213.08   48.55     6680.41  48.38     2416.71  128.52   1124.89  35.48     7876.24  117.53
2008/01/04  18:30:00  8926.41   60.97     6526.62  59.94     2350.61  99.74    1110.97  35.48     7634.46  91.8
2008/01/04  19:00:00  8831.49   51.12     6473.8   50.07     2262.03  74.6     1109.35  35.48     7471.86  68.43
2008/01/04  19:30:00  8766.01   38.27     6423.69  36.73     2161.93  49.04    1103.58  35.48     7239.69  45.22
2008/01/04  20:00:00  8914.01   37.85     6315.91  35.89     2084.55  47.4     1098.87  35.48     7062.19  44
2008/01/04  20:30:00  8711.24   31.17     6255.22  29.08     2040.24  39.31    1106.69  35.48     6944.3   36.47
2008/01/04  21:00:00  8503.16   29.19     6140.53  26.28     2030.39  91.36    1092.9   35.46     6800.71  83.51
2008/01/04  21:30:00  8577.43   29.33     6198.93  26.9      1986.88  153.22   1082.15  35.48     6546.04  149.97
2008/01/04  22:00:00  8556.2    27        6006.02  24.03     1906.67  46.11    1061.01  35.48     6260.98  48.02
2008/01/04  22:30:00  8582.21   32.36     5849.15  29.06     1783.06  41.81    1039.65  20.57     6049.43  40.32
2008/01/04  23:00:00  8480.22   31.58     5757.9   29.32     1717.71  37.93    1015.87  20.57     5779.26  35.81
2008/01/04  23:30:00  8235.55   33.29     5636.74  30.44     1666.59  41.79    993      23.07     6020.01  40.6
2008/01/05  00:00:00  8068.67   28.39     5453.87  26.16     1725.95  35.09    974.7    20.58     5778.48  32.9
2008/01/05  00:30:00  7714.01   23.07     5239.75  21.61     1658.8   27.98    954.59   20.58     5460     26.07
2008/01/05  01:00:00  7435.38   20.75     5048.5   20.09     1544.8   23.34    928.36   20.58     5295.54  22.43
2008/01/05  01:30:00  7099.81   20.67     4868.62  19.67     1453.7   23.7     915.22   20.56     5604.34  23.22
2008/01/05  02:00:00  6822.42   19.73     4723.43  18.76     1381.61  21.77    883.41   20.54     5347.95  21.38
2008/01/05  02:30:00  6588.17   19.97     4656.53  18.95     1334.94  21.49    907.67   20.57     5078.42  20.95
2008/01/05  03:00:00  6526.27   20.27     4611.79  19.09     1327.84  21.99    905.22   20.58     4904.95  21.16
2008/01/05  03:30:00  6454.39   20.25     4600.39  19.07     1298.01  21.77    901.5    20.57     4853.37  21.1
2008/01/05  04:00:00  6453.67   20        4587.74  18.83     1327.2   21.62    910.18   20.57     4770.18  20.71
2008/01/05  04:30:00  6476.42   20        4595.87  18.84     1306.41  21.4     911.97   20.59     4761.85  20.55
2008/01/05  05:00:00  6555.36   20        4597.02  18.8      1309.24  21.75    898.37   20.58     4775.32  20.7
2008/01/05  05:30:00  6679.97   20.17     4621.58  18.93     1305.92  22.07    910.11   20.58     4779.49  20.96
2008/01/05  06:00:00  6859.44   20.4      4675.46  18.75     1315.82  22.68    934.19   20.59     4895.08  21.51
2008/01/05  06:30:00  7185.5    21.11     4780.1   19.19     1330.55  24.37    957.3    20.6      5076.38  23.03
2008/01/05  07:00:00  7552.34   20.88     4985.05  18.9      1404.73  26.74    1004.6   20.6      5313.59  25.51
2008/01/05  07:30:00  7912.82   25.51     5230.82  23.08     1472.2   29.47    1031.5   20.6      5465.33  28.24
2008/01/05  08:00:00  8278.93   29.51     5496.85  27.43     1587.88  33.51    1059.96  20.6      5714.6   32.31
2008/01/05  08:30:00  8685.62   40.16     5797.78  37.39     1749.75  44.73    1081.75  102.27    6010.97  44.71
2008/01/05  09:00:00  8843.01   43.41     6022.41  40.84     1880.11  48.95    1096.16  20.6      6232.27  48.34
2008/01/05  09:30:00  9033.3    48.41     6192.38  46.89     1970.27  53.5     1122.32  20.6      6438.68  52.18
2008/01/05  10:00:00  9021.71   59.14     6332.62  58.25     2057.62  65.86    1124.91  20.6      6648.75  64.63
2008/01/05  10:30:00  9057.13   67.07     6405.99  65.66     2150.38  77.27    1115.19  20.6      6812.56  74.37
2008/01/05  11:00:00  9107.27   71.43     6398.05  68.62     2237.43  84.26    1110.09  20.59     6972.32  81.51
2008/01/05  11:30:00  9076      74.86     6441.58  71.6      2318.73  89.85    1098.72  20.58     7128.53  86.59
2008/01/05  12:00:00  9131.93   81.04     6414.99  77.83     2368.45  97.84    1099.17  20.6      7261.19  93.68
2008/01/05  12:30:00  9033.04   81.16     6485.73  78.62     2409.74  100.05   1102.05  20.6      7354.91  95.76
2008/01/05  13:00:00  9044.54   123.98    6543.3   120.04    2466.15  161.06   1096.65  20.6      7419.92  150.91
2008/01/05  13:30:00  8977      97.91     6584.57  94.63     2511.43  124.76   1090.46  20.6      7502.41  119.02
2008/01/05  14:00:00  8937.9    76.03     6623.79  71.5      2552.53  94.38    1088.52  20.59     7591.18  90.93
2008/01/05  14:30:00  8919.24   60.44     6633.19  56.27     2548.12  85.7     1107.52  20.6      7672.58  83.39
2008/01/05  15:00:00  8994.42   72.72     6648.46  67.73     2558.6   91.55    1099.87  20.6      7769.45  89.62
2008/01/05  15:30:00  8927.91   77.99     6715.22  73.5      2532.21  89.65    1114.31  20.6      7824.81  87.71
2008/01/05  16:00:00  8997.27   83.2      6711.4   78.18     2569.52  103.03   1131.8   20.6      7897.07  100.73
2008/01/05  16:30:00  8900.96   83.88     6770.19  80.21     2586.38  104.85   1141.37  20.6      7879     102.57
2008/01/05  17:00:00  8914.75   83.56     6800.39  80.31     2529.62  103.64   1139.99  20.6      7902.43  100.79
2008/01/05  17:30:00  8867.69   79.47     6780.91  76.54     2484.84  97.82    1122.5   20.6      7808.22  95.53
2008/01/05  18:00:00  8794.19   72.92     6730.88  69.07     2401.59  94.54    1106.95  20.6      7661.48  93.52
2008/01/05  18:30:00  8682.21   43.76     6540.86  40.54     2327.13  81.76    1100.92  20.6      7529.46  81.55
2008/01/05  19:00:00  8511.32   35.01     6531.53  33.23     2268.34  55.93    1093.19  20.61     7339.71  53.06
2008/01/05  19:30:00  8570.03   43.19     6619.05  42.8      2165.22  52.32    1083.25  20.6      7168.57  50.73
2008/01/05  20:00:00  8665.49   37.89     6592.75  37.39     2080.17  44.71    1083.51  20.6      7074.16  43.88
2008/01/05  20:30:00  8578.63   42.59     6551.11  41.71     2018.83  56.91    1090.69  20.6      7092.08  53.47
2008/01/05  21:00:00  8427.81   33.99     6417.52  32.66     1994.89  63.82    1077.13  20.6      7032.17  58.14
2008/01/05  21:30:00  8389.91   33.43     6406.05  32.33     1928.78  48.88    1059.59  20.58     6831.81  43.41
2008/01/05  22:00:00  8314.28   31.17     6161.23  30.22     1830.67  43.73    1028.96  20.58     6579.97  36.96
2008/01/05  22:30:00  8212.91   35.28     5966.09  35.28     1738.27  45.89    1001.14  20.58     6361.84  41.28
2008/01/05  23:00:00  7949.6    34.76     5901.82  35.57     1679.53  44.13    976.68   20.59     6122.72  39.83
2008/01/05  23:30:00  7785.58   34.99     5807.65  36.4      1598.97  43.54    959.37   20.59     6226.35  39.89
2008/01/06  00:00:00  7533.11   28.51     5577.05  29.65     1681.04  36.01    938.77   20.58     5952.71  31.62
2008/01/06  00:30:00  7367.44   25.03     5387.48  26.22     1570.12  29.8     925.54   20.58     5599.25  26.67
2008/01/06  01:00:00  7142.51   22.29     5225.42  23.34     1482.69  26.1     918.71   20.58     5396.39  23.62
